location_id,lat,lng,monthly_revenue,signal_count,unique_users,peak_morning_signals,building_count,total_building_area,avg_building_area,residential_count,commercial_count,building_density,pop_total,pop_households,avg_hh_size,poi_bank,poi_bus_stop,poi_hospital,poi_mall,poi_park,poi_pharmacy,poi_restaurant,poi_school,poi_total,competitor_count,dist_nearest_competitor_m,residential_ratio,commercial_ratio,pop_density,peak_ratio,signals_per_user,dist_nearest_client_m,nearest_client_revenue,dist_nearest_poi_m
LOC_011,50.121043,18.54847,306718.03,2411,98,458,531,61232.76,115.31593220338983,277,33,676.1,994.0,258.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3391.3,0.522,0.062,1265.6,0.19,24.6,9248.9,121446.26,1242.6
LOC_012,50.360509,19.049077,257168.85,1341,73,402,531,61537.57,115.88996233521657,270,15,676.1,1155.0,448.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5548.3,0.508,0.028,1470.6,0.3,18.4,1655.0,172988.91,2924.7
LOC_013,50.266171,18.894791,279872.55,13612,185,2389,274,70933.3,258.88065693430656,154,25,348.9,5414.0,2259.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.4,0.562,0.091,6893.3,0.176,73.6,2952.3,220894.99,1444.3
LOC_014,50.101874,19.929553,392436.29,4062,101,1003,159,33556.73,211.04861635220124,108,13,202.4,1244.0,299.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.4,0.679,0.082,1583.9,0.247,40.2,1321.4,311493.29,1137.7
LOC_015,50.315698,19.117433,266355.59,28056,310,5546,493,118805.43,240.984645030426,337,53,627.7,8234.0,3908.0,2.55,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1200.3,0.684,0.108,10483.9,0.198,90.5,1386.3,319279.07,69.0
LOC_016,50.026999,19.920654,238945.93,11244,233,2523,399,110888.65,277.9164160401002,286,32,508.0,7164.0,2072.0,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.0,0.717,0.08,9121.5,0.224,48.3,1005.9,320423.94,1095.6
LOC_017,50.281363,18.670286,232815.91,26247,296,6549,572,128686.8,224.97692307692307,376,62,728.3,8220.0,3890.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,506.0,0.657,0.108,10466.0,0.25,88.7,835.7,259298.07,371.4
LOC_018,50.100659,18.99341,285754.04,21576,353,5322,613,113914.66,185.8314192495922,443,26,780.5,7883.0,3036.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.8,0.723,0.042,10037.0,0.247,61.1,12100.4,323175.63,1578.0
LOC_019,50.261991,19.026051,623866.24,22941,656,4873,435,244277.85,561.558275862069,176,71,553.9,2875.0,1718.0,1.86,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,0.0,1153.7,0.405,0.163,3660.6,0.212,35.0,1355.3,573546.91,228.8
LOC_020,50.097038,19.961254,310360.75,15514,304,3089,356,110190.51,309.523904494382,204,66,453.3,5529.0,1670.0,6.17,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,526.1,0.573,0.185,7039.7,0.199,51.0,828.4,293108.65,690.5
LOC_021,50.019016,19.927269,320423.94,7563,212,1430,651,143523.35,220.46597542242705,417,58,828.9,2173.0,702.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.8,0.641,0.089,2766.8,0.189,35.7,1005.9,238945.93,1303.5
LOC_022,50.096971,19.912718,311493.29,1942,73,612,405,66699.3,164.68962962962965,310,38,515.7,1417.0,449.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.8,0.765,0.094,1804.2,0.315,26.6,1321.4,392436.29,1218.1
LOC_023,50.225812,18.976277,262154.63,12869,183,2972,495,103375.38,208.8391515151515,321,38,630.3,5239.0,2494.0,2.18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3070.7,0.648,0.077,6670.5,0.231,70.3,4724.5,220894.99,594.3
LOC_024,50.244682,20.081011,218318.13,4847,209,1387,584,77109.25,132.03638698630138,376,43,743.6,1813.0,568.0,3.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12846.2,0.644,0.074,2308.4,0.286,23.2,11610.3,227013.29,128.9
LOC_025,49.994134,20.053555,231470.22,1732,91,445,538,71975.98,133.78434944237918,394,37,685.0,1301.0,360.0,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3661.2,0.732,0.069,1656.5,0.257,19.0,3992.3,174307.46,1438.1
LOC_026,50.36527,19.027023,172988.91,968,45,331,555,65359.42,117.76472072072072,279,18,706.6,1347.0,479.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5132.2,0.503,0.032,1715.1,0.342,21.5,1655.0,257168.85,1661.8
LOC_027,50.306119,19.181442,288519.07,8921,176,2246,326,96076.44,294.7130061349693,210,39,415.1,3081.0,1310.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071.1,0.644,0.12,3922.9,0.252,50.7,3740.8,319279.07,1498.8
LOC_028,50.203964,19.046848,323175.63,915,32,136,222,40168.62,180.93972972972972,136,14,282.7,1407.0,585.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901.5,0.613,0.063,1791.4,0.149,28.6,3101.7,245633.74,4023.7
